iter	Passed	Remaining
0	2	2288
1	5	2627
2	6	2274
3	8	2099
4	9	1977
5	11	1923
6	13	1865
7	14	1820
8	16	1784
9	17	1758
10	21	1889
11	22	1858
12	24	1832
13	25	1810
14	27	1789
15	28	1776
16	30	1763
17	33	1850
18	38	1988
19	40	1999
20	43	2048
21	51	2276
22	53	2280
23	55	2247
24	56	2222
25	58	2195
26	60	2167
27	62	2160
28	63	2141
29	65	2117
30	67	2097
31	68	2079
32	70	2060
33	73	2079
34	74	2064
35	77	2063
36	78	2048
37	79	2024
38	81	2003
39	82	1990
40	84	1974
41	86	1961
42	87	1951
43	89	1941
44	93	1980
45	94	1967
46	96	1955
47	98	1946
48	99	1935
49	101	1924
50	102	1914
51	104	1904
52	106	1899
53	108	1892
54	109	1882
55	111	1874
56	112	1864
57	114	1855
58	115	1848
59	117	1845
60	119	1835
61	121	1833
62	122	1829
63	124	1824
64	126	1816
65	127	1811
66	129	1804
67	131	1799
68	132	1787
69	134	1792
70	137	1801
71	140	1804
72	141	1801
73	143	1797
74	144	1783
75	146	1777
76	149	1793
77	151	1790
78	153	1786
79	154	1780
80	156	1776
81	158	1773
82	160	1771
83	162	1767
84	164	1766
85	165	1762
86	167	1759
87	169	1755
88	171	1751
89	173	1752
90	175	1751
91	179	1767
92	181	1768
93	182	1761
94	184	1757
95	186	1753
96	187	1747
97	189	1743
98	190	1737
99	194	1746
100	196	1748
101	198	1743
102	199	1734
103	200	1730
104	202	1729
105	204	1721
106	205	1718
107	207	1716
108	209	1712
109	210	1703
110	212	1700
111	214	1696
112	215	1693
113	217	1688
114	219	1686
115	221	1686
116	223	1686
117	225	1683
118	227	1681
119	229	1679
120	230	1673
121	232	1669
122	233	1667
123	235	1665
124	238	1666
125	240	1670
126	242	1666
127	244	1662
128	245	1660
129	247	1658
130	250	1658
131	251	1653
132	253	1652
133	255	1651
134	257	1651
135	259	1649
136	261	1647
137	263	1647
138	265	1646
139	267	1645
140	269	1644
141	271	1641
142	273	1637
143	274	1634
144	276	1630
145	278	1630
146	280	1630
147	282	1625
148	284	1622
149	285	1618
150	287	1614
151	288	1612
152	290	1609
153	292	1609
154	295	1609
155	296	1606
156	298	1602
157	300	1600
158	301	1596
159	303	1593
160	305	1591
161	307	1592
162	309	1589
163	311	1586
164	312	1582
165	314	1578
166	315	1575
167	317	1572
168	318	1568
169	320	1564
170	322	1563
171	324	1562
172	326	1560
173	328	1557
174	329	1554
175	331	1551
176	333	1549
177	335	1547
178	336	1545
179	338	1542
180	340	1541
181	342	1538
182	343	1535
183	345	1531
184	346	1527
185	348	1524
186	350	1523
187	352	1521
188	354	1519
189	355	1516
190	357	1514
191	359	1510
192	360	1507
193	362	1504
194	364	1502
195	366	1502
196	367	1499
197	369	1496
198	370	1492
199	372	1489
200	373	1486
201	375	1484
202	377	1481
203	379	1481
204	381	1480
205	383	1478
206	384	1474
207	386	1471
208	388	1468
209	389	1466
210	392	1465
211	394	1466
212	396	1463
213	397	1460
214	399	1457
215	400	1454
216	402	1451
217	403	1448
218	405	1446
219	408	1447
220	409	1444
221	411	1441
222	412	1438
223	414	1435
224	415	1432
225	417	1430
226	419	1427
227	421	1427
228	423	1426
229	425	1423
230	427	1421
231	428	1418
232	430	1415
233	431	1413
234	433	1410
235	434	1408
236	437	1406
237	438	1404
238	440	1403
239	442	1401
240	444	1399
241	445	1396
242	447	1393
243	448	1390
244	451	1390
245	452	1388
246	454	1385
247	455	1382
248	457	1379
249	459	1377
250	460	1375
251	462	1372
252	464	1370
253	466	1368
254	467	1366
255	469	1364
256	471	1362
257	472	1359
258	474	1356
259	475	1353
260	477	1351
261	479	1351
262	481	1349
263	483	1347
264	485	1346
265	487	1344
266	488	1341
267	490	1339
268	491	1336
269	495	1339
270	498	1339
271	499	1336
272	500	1334
273	502	1331
274	504	1329
275	505	1326
276	508	1326
277	510	1324
278	511	1322
279	514	1321
280	515	1319
281	517	1316
282	518	1314
283	520	1312
284	523	1313
285	525	1310
286	526	1308
287	528	1305
288	529	1303
289	531	1300
290	532	1298
291	534	1295
292	536	1294
293	538	1292
294	540	1291
295	542	1289
296	544	1287
297	545	1285
298	547	1283
299	549	1281
300	551	1279
301	553	1278
302	555	1277
303	557	1275
304	558	1272
305	560	1270
306	561	1267
307	563	1265
308	564	1262
309	567	1262
310	568	1260
311	570	1257
312	572	1255
313	573	1253
314	575	1251
315	576	1248
316	580	1249
317	581	1247
318	583	1245
319	585	1243
320	586	1241
321	588	1238
322	590	1236
323	591	1234
324	594	1234
325	596	1233
326	598	1231
327	600	1229
328	601	1226
329	603	1224
330	604	1222
331	606	1220
332	609	1221
333	611	1219
334	613	1217
335	614	1215
336	616	1212
337	618	1210
338	619	1208
339	621	1207
340	623	1205
341	625	1203
342	626	1200
343	628	1198
344	630	1196
345	631	1194
346	633	1192
347	635	1190
348	637	1189
349	640	1188
350	641	1186
351	643	1184
352	645	1182
353	646	1180
354	648	1177
355	649	1175
356	651	1174
357	653	1172
358	655	1169
359	656	1167
360	658	1165
361	660	1163
362	661	1160
363	663	1158
364	665	1157
365	667	1156
366	669	1154
367	670	1151
368	672	1149
369	673	1147
370	675	1145
371	677	1143
372	678	1141
373	680	1139
374	682	1137
375	683	1135
376	685	1132
377	687	1130
378	688	1128
379	690	1126
380	692	1124
381	694	1122
382	697	1122
383	699	1121
384	701	1120
385	703	1118
386	705	1117
387	706	1115
388	709	1113
389	711	1112
390	712	1110
391	714	1108
392	716	1106
393	718	1104
394	719	1102
395	721	1100
396	723	1098
397	725	1096
398	727	1095
399	729	1094
400	731	1092
401	733	1090
402	735	1088
403	736	1086
404	739	1087
405	741	1084
406	743	1082
407	744	1080
408	746	1078
409	748	1076
410	749	1074
411	751	1072
412	753	1071
413	755	1068
414	756	1066
415	758	1064
416	759	1062
417	761	1060
418	763	1058
419	764	1056
420	768	1057
421	770	1055
422	772	1053
423	773	1051
424	775	1049
425	777	1047
426	779	1046
427	781	1044
428	783	1043
429	785	1041
430	788	1040
431	790	1039
432	792	1037
433	794	1036
434	796	1034
435	798	1033
436	801	1032
437	803	1030
438	805	1028
439	807	1027
440	808	1025
441	811	1024
442	813	1023
443	815	1021
444	817	1019
445	819	1017
446	821	1015
447	823	1014
448	825	1012
449	827	1010
450	828	1008
451	830	1007
452	832	1005
453	834	1003
454	835	1001
455	837	999
456	839	997
457	842	996
458	844	995
459	846	993
460	847	991
461	849	989
462	851	987
463	853	985
464	856	984
465	858	983
466	860	982
467	862	980
468	864	978
469	866	976
470	868	975
471	871	974
472	873	973
473	876	972
474	878	970
475	881	970
476	884	969
477	887	969
478	890	968
479	892	967
480	895	966
481	898	965
482	900	963
483	903	963
484	905	961
485	907	959
486	909	958
487	912	957
488	916	958
489	919	956
490	922	955
491	923	953
492	926	952
493	928	950
494	933	952
495	937	952
496	939	950
497	948	956
498	951	955
499	954	954
500	957	953
501	961	953
502	980	968
503	983	967
504	984	965
505	986	963
506	988	961
507	992	961
508	996	961
509	998	958
510	999	956
511	1002	955
512	1005	954
513	1008	953
514	1010	951
515	1012	949
516	1014	947
517	1016	945
518	1018	943
519	1020	942
520	1024	941
521	1026	939
522	1027	937
523	1029	935
524	1032	933
525	1036	934
526	1038	932
527	1041	930
528	1043	929
529	1045	926
530	1049	927
531	1052	925
532	1054	923
533	1056	922
534	1058	920
535	1061	918
536	1064	917
537	1066	915
538	1068	914
539	1070	912
540	1072	910
541	1074	908
542	1077	906
543	1080	905
544	1081	903
545	1083	900
546	1085	898
547	1087	897
548	1089	895
549	1092	893
550	1094	891
551	1095	889
552	1098	887
553	1100	885
554	1102	883
555	1105	882
556	1107	881
557	1109	878
558	1111	876
559	1113	875
560	1115	873
561	1119	872
562	1121	870
563	1123	868
564	1125	866
565	1127	864
566	1129	862
567	1132	860
568	1134	859
569	1137	858
570	1139	856
571	1141	854
572	1144	852
573	1148	852
574	1151	851
575	1153	849
576	1155	846
577	1157	845
578	1159	843
579	1162	841
580	1166	841
581	1168	839
582	1170	836
583	1172	835
584	1174	833
585	1178	832
586	1181	831
587	1183	829
588	1185	827
589	1188	825
590	1190	823
591	1194	822
592	1196	821
593	1198	819
594	1200	817
595	1202	815
596	1205	814
597	1208	812
598	1210	810
599	1212	808
600	1215	806
601	1216	804
602	1219	802
603	1222	801
604	1224	799
605	1226	797
606	1228	795
607	1230	793
608	1236	793
